NOME;MARCA;EXPOSITOR;CATEGORIA;VALOR;FICHA TÉCNICA;FOTO;;;
ANZOL BRUTAL LASTREADO;GRUPO WAKOKU / FLÓRIDA MARINE;RYUGI;ACESSÓRIOS DE PESCA;R$ 17,00;PARA FISGAR OS GRANDE PREDADORES! A SÉRIE HEAVY WEIGHTED BRUTAL FOI DESENVOLVIDA PELA RYUGI NO JAPÃO COM A MAIS ALTA TECNOLOGIA PARA OS PESCADORES MAIS EXIGENTES. O RESULTADO É UM MODELO DE ALTÍSSIMA PERFORMANCE, QUE USAM AÇO CARBONO DE PRIMEIRA E COM PONTADAS TRATADAS QUIMICAMENTE PARA MÁXIMO PODER DE PERFURAÇÃO E RESISTÊNCIA. A SÉRIE HEAVY WEIGH;LASTREADO.JPG;;;
SNOOK HOOK STRONG;GRUPO WAKOKU / FLÓRIDA MARINE;SASAME;ACESSÓRIOS DE PESCA;R$ 17,00;O ANZOL PREFERIDO NOS PESQUEIROS! EM SINTONIA COM O MERCADO BRASILEIRO, A SASAME LANÇOU O ANZOL SNOOK HOOK, QUE É MAIS REFORÇADO E PRATICAMENTE ÚNICO NESSA CATEGORIA. FEITO COM AÇO CARBONO EXTREMAMENTE FORTE É AFIADO QUIMICAMENTE, GARANTINDO FISGADAS CERTEIRAS E SEM DEFORMAR DURANTE A BRIGA, EVITANDO QUE O SEU GRANDE TROFÉU ESCAPE. POSSUI ACABAMENTO BLACK NÍQUEL PARA NÃO ESPANTAR O PEIXE E FORMATO INDICADO PARA ISCAS VIVAS (CAMARÃO E PEQUENOS PEIXES) E PARA OS PEIXES DE PESQUEIROS.;SNOOK_HOOK.JPG;;;
MAJOR STOCK;GRUPO WAKOKU / FLÓRIDA MARINE;MAJOR CRAFT;ACESSÓRIOS DE PESCA;R$ 210,00;ANZOIS, ASSISTS E SPINNERBAITS ORGANIZADOS! ESTE ACESSÓRIO DA MAJOR CRAFT VAI AJUDAR A MANTER A SUA TRALHA MAIS ORGANIZADA. ELE É FEITO COM MATERIAL REFORÇADO, FECHAMENTO EM VELCRO E POSSUI 10 DIVISÓRIAS COM FECHO TIPO ZIP LOCK, EM QUE VOCÊ CONSEGUE COLOCAR O PACOTE INTEIRO DE ANZOIS E SUAS CARTELAS, O QUE FACILITA A IDENTIFICAR CADA MODELO.;MAJOR_STOCK.JPG;;;
DOCUTTE 4300;GRUPO WAKOKU / FLÓRIDA MARINE;RINGSTAR;ACESSÓRIOS DE PESCA;R$ 480,00;A CAIXA DE PESCA DEFINITIVA! FEITA COM PLÁSTICO USADO PELA INDÚSTRIA AUTOMOBILÍSTICA PARA A PRODUÇÃO DE PARA-CHOQUES, A DOCUTTE É EXTREMAMENTE FORTE E TEM UM AMPLO ESPAÇO INTERNO. ESTA CAIXA GRANDE BANDEJA PARA AJUDAR NA ORGANIZAÇÃO DOS SEUS EQUIPAMENTOS. A TAMPA PODE SER ABERTA E FECHADA TANTO DO LADO ESQUERDO QUANTO DO DIREITO, ALÉM DE PODER SER UTILIZADA COMO BANCO. POSSUI UM PORTA-VARAS COMO ACESSÓRIO OPCIONAL E É IDEAL PARA PESCARIAS NO MAR, POIS PROTEGE BEM O MATERIAL DOS RESPINGOS DE ÁGUA.;DOCUTTE.JPG;;;
HEAT CUTTER II;GRUPO WAKOKU / FLÓRIDA MARINE;XBRAID;ACESSÓRIOS DE PESCA;R$ 427,00;CORTE PRECISO EM QUALQUER SITUAÇÃO! ESSE APARELHO DO TAMANHO DE UMA CANETA TEM DUAS FUNÇÕES: CORTAR A LINHA E FAZER ACABAMENTO DO NÓ COM A VANTAGEM DO CORTE PRECISO MESMO EM SITUAÇÕES DE VENTO. ESTE CORTADOR PODE SER CARREGADO VIA USB, PODENDO SER UTILIZADO PARA TODOS OS TIPOS LINHAS (MULTI, NYLON E FLÚOR).;HEAT_CUTTER.JPG;;;
SPLIT COM SOLID OS-12;GRUPO WAKOKU / FLÓRIDA MARINE;ODZ;ACESSÓRIOS DE PESCA;R$ 112,00;CONEXÃO EXTREMAMENTE FORTE! O COMBO SOLID RING COM SPLIT RING DA ODZ É EXTREMAMENTE FORTE. TRATA-SE DE UM ACESSÓRIO FUNDAMENTAL PARA A MONTAGEM DE SEU ASSIST HOOK, POIS PROPORCIONA FACILIDADE NA TROCA DE ISCAS, MAS COM UMA INCRÍVEL RESISTÊNCIA. ESTE ACESSÓRIO, ALÉM DA PESCA VERTICAL, TAMBÉM VEM SENDO USADA EM PESCARIAS DE ÁGUA DOCE, COMO A DE TUCUNARÉ AÇU.;OS_12.JPG;;;
D-FENSE PRO AMBIENTE;HAXEA;IPANEMA INDÚSTRIA DE PRODUTOS VETERINÁRIOS LTDA.;ACESSÓRIOS DE PESCA;R$ 42,00;Nº REGISTRO NO M.S./ANVISA: 3.2380.0042 NOME QUÍMICO: TRANSFLUTRINA CLASSE: INSETICIDA COM FÓRMULA INOVADORA, D-FENSE PRO AMBIENTE É UM INSETICIDA DE MICRODOSE PARA AMBIENTES. AO ACIONAR A VÁLVULA, D-FENSE PRO AMBIENTE LIBERA MICROPARTÍCULAS QUE SE ESPALHAM RAPIDAMENTE PELO AR, TORNANDO-SE PARTE DA DINÂMICA DO AMBIENTE E GARANTINDO QUE ELE FIQUE LIVRE DE MOSQUITOS E INSETOS DE MANEIRA PRÁTICA E EFICAZ. É INDICADO CONTRA MOSQUITOS (AEDES AEGYPTI, ANOPHELES AQUASALIS E CULEX QUINQUEFASCIATUS), TRANSMISSORAS DA DENGUE, CHIKUNGUNYA, ZIKA VÍRUS, FEBRE AMARELA E MALÁRIA, MOSCAS DOMÉSTICAS E INSETOS RASTEIROS, COMO BARATAS E FORMIGAS DOCEIRAS.;D-FENSE-A.JPG;;;
D-FENSE PRO TECIDOS 250 ML;HAXEA;IPANEMA INDÚSTRIA DE PRODUTOS VETERINÁRIOS LTDA.;ACESSÓRIOS DE PESCA;R$ 69,00;Nº REGISTRO NO M.S./ANVISA: 3.2380.0031 NOME QUÍMICO: PERMETRINA CLASSE: REPELENTE D-FENSE PRO TECIDOS É PARA SER APLICADO DIRETAMENTE SOBRETECIDOS EM GERAL. . É INDICADO PARA REPELIR INSETOS, COMO O AEDES AEGYPTI (MOSQUITO TRANSMISSOR DA DENGUE, ZIKA, CHIKUNGUNYA E FEBRE AMARELA), CULEX QUINQUEFASCIATUS (TAMBÉM CONHECIDO COMO MURIÇOCA) E ANOPHELES AQUASALIS (MOSQUITO TRANSMISSOR DA MALÁRIA).;D-FENSE-T.JPG;;;
SUPORTE PARA VARA SEA HORSE;HP MOTONÁUTICA;HP PESCA, MOTO, NÁUTICA;ACESSÓRIOS DE PESCA;R$ 69,00;SUPER NOVIDADE NO PESCA E COMPANHIA TRADE SHOW 2025. GUARDE SUAS VARAS COM SOFISTICAÇÃO, ORGANIZAÇÃO E TRANQUILIDADE. SUPORTE FIXO DE PAREDE PARA GUARDAR VARAS. RESISTENTE A ÁGUA, COM MOLAS EM AÇO INOX E ACABAMENTO PREMIUM. ELE É TODO EMBORRACHADO PARA NÃO DANIFICAR AS VARAS. CAPACIDADE: ATÉ 6 VARAS MEDIDAS: 30CM(C) X 5CM(A) X 3CM(L);VARA_SEA_HORSE.JPG;;;
ÓCULOS POLARIZADO YARA DARK VISION;ISCAS YARA;YARA ISCAS ARTIFICIAIS;ACESSÓRIOS DE PESCA;R$ 179,90;ÓCULOS POLARIZADO YARA DARK VISION MODELO C2407, DESENVOLVIDO EM PARCERIA COM O GRANDE PESCADOR CADU, FOI PROJETADO PARA OTIMIZAR A VISUALIZAÇÃO DOS PEIXES EM SEU HABITAT NATURAL, SEM ABRIR MÃO DO CONFORTO E ESTILO DURANTE A PESCARIA. SUAS LENTES POLARIZADAS TAC (TRI ACETATO DE CELULOSE) POSSUEM PROTEÇÃO UV 400 QUE BLOQUEIAM OS RAIOS UVA / UVB.;DARK_VISION.JPG;;;
